"Day","Date","Tmean","Tmin","Tmax","Humidity","Wind_mean","Wind_max","Pressure_sl","Weather","rain"
1,"25/1/2016",4,-2,13,77,5,13,1032,"nebbia ",0
2,"26/1/2016",7,-1,15,81,5,11,1030,"nebbia ",0
3,"27/1/2016",7,1,12,85,4,7,1029,"nebbia ",0
4,"28/1/2016",9,7,12,84,5,9,1028,"pioggia ",1
5,"29/1/2016",10,6,15,81,5,11,1030,"pioggia nebbia ",1
6,"30/1/2016",8,7,9,91,4,9,1027,"pioggia nebbia ",1
7,"31/1/2016",8,4,13,92,8,17,1016,"nebbia ",0
8,"1/2/2016",5,1,7,97,8,11,1022,"nebbia ",0
9,"2/2/2016",8,7,9,96,5,9,1026,"nebbia ",0
10,"3/2/2016",8,6,10,83,9,22,1016,"pioggia temporale ",1
11,"4/2/2016",9,4,13,31,11,22,1023,"",0
12,"5/2/2016",6,1,11,60,9,15,1025,"",0
13,"6/2/2016",4,1,7,85,5,9,1029,"pioggia ",1
14,"7/2/2016",6,5,7,94,6,11,1014,"pioggia ",1
15,"8/2/2016",7,5,10,87,7,13,1015,"pioggia ",1
16,"9/2/2016",8,7,9,91,8,22,1008,"pioggia ",1
17,"10/2/2016",9,2,13,43,11,19,998,"nebbia ",0
18,"11/2/2016",5,-1,11,56,5,9,1007,"",0
19,"12/2/2016",5,3,8,72,7,11,1004,"pioggia ",1
20,"13/2/2016",4,1,7,86,8,13,997,"",0
21,"14/2/2016",5,4,6,92,6,11,995,"pioggia ",1
22,"15/2/2016",7,2,12,81,6,11,1004,"",0
23,"16/2/2016",7,7,8,91,5,11,1021,"pioggia ",1
24,"17/2/2016",6,4,7,89,7,17,1019,"pioggia ",1
25,"18/2/2016",6,1,11,83,9,19,1016,"nebbia ",0
26,"19/2/2016",7,1,14,70,7,15,1015,"nebbia ",0
27,"20/2/2016",8,3,13,61,6,9,1024,"nebbia ",0
28,"21/2/2016",10,3,16,60,7,13,1021,"",0
29,"22/2/2016",9,5,12,83,5,11,1018,"",0
30,"23/2/2016",10,6,14,82,6,15,1011,"nebbia ",0
31,"24/2/2016",8,2,12,76,10,24,1013,"nebbia ",0
32,"25/2/2016",7,4,10,70,6,9,1011,"nebbia ",0
33,"26/2/2016",5,0,9,85,9,17,1010,"pioggia nebbia ",1
34,"27/2/2016",5,4,6,88,8,17,1008,"pioggia ",1
35,"28/2/2016",7,4,9,94,9,20,1006,"pioggia ",1
36,"29/2/2016",10,8,13,85,8,22,1004,"pioggia ",1
37,"1/3/2016",9,3,16,81,5,11,1011,"nebbia ",0
38,"2/3/2016",10,5,14,75,9,28,1007,"pioggia nebbia ",1
39,"3/3/2016",9,5,15,47,14,22,0,"pioggia ",1
40,"4/3/2016",7,0,12,60,6,11,1005,"nebbia ",0
41,"5/3/2016",5,2,8,89,12,22,999,"pioggia temporale ",1
42,"6/3/2016",3,2,5,92,6,11,1001,"nebbia ",0
